id,hostname,model,exist in CA Spectrum
73739104503159020,SZXJWS57.Marriott.com,WS-C2960X-48TS-L,False
74055935710272962,unknown,,False
74433233197334133,RESIGS01.marriott.com,C9300-48P,True
75129967298833017,CKGMCP01.marriott.com,891,True
75769514928420360,DPSXRS47,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
76422063014725141,new_marrio-franfraop1-2848899,ISR4451,True
76543607188665873,GDLACS03,"HP J9726A 2920-24G Switch, revision WB.16.10.0016,",False
76848637067815216,SYXAKSW03-B1-Storage,J9776A,False
76849811220755231,unknown,,False
77177491171315080,SELFGSW06-B2-MDF,C2960X,False
77412559677578473,SEANGS02,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
77934015389281605,unknown,,False
78355591556084084,unknown,,False
78654984094835945,SHAPHSW05-01-IDF,,False
79070008997711332,SZXBAS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
79274118942191555,XIYWHSW03-06-R603,J9774A,False
79512913672933126,unknown,,False
79583444889908573,HRGSSSW52.Marriott.com,cat29xxStack,False
79864970825146834,LAXAPS12,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
79993304342265741,HOUMYP01,1921k9,True
80039313243553235,unknown,,False
80899259823403555,FEZMCS07,"HP J9726A 2920-24G Switch, revision WB.16.10.0016,",False
81048546708443158,YYZOTSW09-GRDVW,ICX715024,False
81157461740732521,unknown,,False
81880499527340476,DTWMASW09,"HP J9777A 2530-8G Switch, revision YA.16.10.0016, ",False
82845291576659462,HYDSISW02,A512024GEI2SLOT,False
82930011101483776,XIYWHSW15-09-R919,J9774A,False
83506715302720649,unknown,,False
83547600932223194,BJSFLS51,"ProCurve j9020a Switch 2510-48, revision U.11.66, ",False
83913800000989261,HKGWH-S52-ITO-SW2.Marriott.com,C2960X,False
84331942087846312,NGBXISW06-02-IDFE,,False
84802183312984611,DXBLVS011,"HP J9729A 2920-48G-POE+ Switch, revision WB.16.10.",False
85350787582424343,FCATSS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
85628506204298213,LAXAP0183,"HP J9562A Switch 2915-8G-PoE, revision A.15.16.002",False
85654545545932947,XIYWHSW32-05-R536,J9774A,False
85709196852022546,AIDFIS01,"HP J9782A 2530-24 Switch, revision YB.16.10.0016, ",False
85826354247888817,BUHROS01,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
86595143616871919,XIYSCSW01-13-IDFG,"Aruba 2930F VSF VC, revision WC.16.10.0009, ROM WC",False
86644458244850334,CAIEGS109,"HP J9850A Switch 5406Rzl2, revision KB.16.10.0016,",False
86941840028347271,YNZMCSW01-01-IDFB,,False
86986863609356575,unknown,,False
87032225386887008,ONTRTP01.marriott.com,C899G-LTE-NA-K9,True
87134394281708264,BUSSISW04-00-MDF.mikenopa.com,cat29xxStack,False
87585449355083459,HNLRRS60,"HP J9728A 2920-48G Switch, revision WB.16.10.0016,",False
