id,hostname,model,exist in Netmri
0x11c4054,MSYMDP01,GnSNMPDev,False
0x11c4055,CHSCYP01.marriott.com,GnSNMPDev,False
0x102c04b,hdqdlprdips2.marriott.com,Pingable,False
0x131407b,SRQRZP01.marriott.com,Rtr_Cisco,False
0x102c048,hdqimprdips1.marriott.com,Pingable,False
0x102c049,hdqimprdtap01.marriott.com,Pingable,False
0x102c04e,hdqimprdtap02.marriott.com,Pingable,False
0x102c04f,hdqdlprdtap02.marriott.com,Pingable,False
0x11f0051,BDRCTP01.marriott.com,Rtr_Cisco,False
0x102c04d,hdqdlc914802.marriott.com,Pingable,False
0x101c051,SUBFIP01.marriott.com,GnSNMPDev,False
0x11d404c,COSCSP01.marriott.com,GnSNMPDev,False
0x11d4049,STLCLP01.marriott.com,GnSNMPDev,False
0x1204074,SLCSWP01.marriott.com,Rtr_Cisco,False
0x11d404b,COSFSP01.marriott.com,GnSNMPDev,False
0x11d404a,TRXFIP01.marriott.com,GnSNMPDev,False
0x12e8076,JAXRJP01.marriott.com,Rtr_Cisco,False
0x11d4045,COESHP01.marriott.com,Rtr_Cisco,False
0x11d4044,COSHSP01.marriott.com,Rtr_Cisco,False
0x120007a,POURIP01.marriott.com,Rtr_Cisco,False
0x12c8076,TFNACP01.marriott.com,Rtr_Cisco,False
0x11d4047,CHIWIP01.local.tld,Rtr_Cisco,False
0x11d4046,COSFIP01.marriott.com,GnSNMPDev,False
0x130c06c,MKEMRP01.marriott.com,Rtr_Cisco,False
0x122807e,HBGRIP01.marriott.com,Rtr_Cisco,False
0x11e0042,JKT65P01.marriott.com,GnSNMPDev,False
0x11d4043,DSMCHP01.marriott.com,GnSNMPDev,True
0x11e0040,JKTALP01,Rtr_Cisco,False
0x11e407e,MCOATP01.marriott.com,GnSNMPDev,False
0x11c807d,WASGWP01.marriott.com,Rtr_Cisco,False
0x11c807e,WASCAP01.marriott.com,Rtr_Cisco,False
0x11c8078,WASAGP01,Rtr_Cisco,False
0x11c8079,WASINP01.marriott.com,Rtr_Cisco,False
0x11c807b,WASRLP01,Rtr_Cisco,False
0x1204048,DPSUBP01.marriott.com,Rtr_Cisco,False
0x11c8074,WASPCP01.marriott.com,Rtr_Cisco,False
0x11c8075,WASWIP01,Rtr_Cisco,False
0x1204049,DPSTPP01,Rtr_Cisco,False
0x120c049,SHDHRP01.marriott.com,Rtr_Cisco,False
0x11d8077,SANECP01.marriott.com,GnSNMPDev,False
0x11c8076,WASGSP01,Rtr_Cisco,False
0x11c8077,WASCCP01.marriott.com,Rtr_Cisco,False
0x11c8073,WASPY-WASRYP01.marriott.com,Rtr_Cisco,False
0x11e4064,MBDPRP01.marriott.com,GnSNMPDev,True
0x131004d,SEANGP01.marriott.com,Rtr_Cisco,False
0x12dc053,YQBDMP01.marriott.com,Rtr_Cisco,False
0x11dc063,MYYMCP01.marriott.com,Rtr_Cisco,False
0x11bc09b,VERACP01.marriott.com,GnSNMPDev,False
0x103c082,IAD13CF03-New,CheckpointFirewall,False
0x130c0b1,CLTFHP01.marriott.com,Rtr_Cisco,False
0x12040a4,DSMWFP01.marriott.com,GnSNMPDev,False
0x12c40a8,SELLCP01.marriott.com,Rtr_Cisco,False
0x103c085,HDQNCS106,HPProCurve,False
0x103c08a,HDQNCSZS01,HPProCurve,False
0x133c0b9,COSNOP01.marriott.com,GnSNMPDev,False
0x120c0ad,SHDCYP01.marriott.com,GnSNMPDev,False
